district,Boys,Girls,total
Ahmedabad,7.56,7.69,7.61
Amreli,12.68,12.39,12.56
Anand,16.22,14.18,15.38
Aravalli,6.16,9.33,7.55
Banas Kantha,16.85,18.11,17.32
Bharuch,13.29,7.78,10.93
Bhavnagar,12.42,10.41,11.60
Botad,14.02,17.64,15.40
Chhotaudepur,10.44,7.92,9.24
Devbhoomi Dwarka,17.48,14.44,16.23
Dohad,3.39,0.45,2.02
Gandhinagar,12.47,11.26,12.00
Gir Somnath,9.00,9.19,9.08
Jamnagar,11.26,8.31,9.98
Junagadh,4.17,7.53,5.62
Kachchh,24.80,14.54,20.77
Kheda,12.70,20.93,16.14
Mahesana,14.44,12.81,13.80
Mahisagar,9.49,14.11,11.58
Morbi,14.42,11.45,13.22
Narmada,12.97,8.46,10.85
Navsari,6.97,3.24,5.29
Panch Mahals,11.68,17.26,14.18
Patan,17.90,21.62,19.33
Porbandar,18.14,12.01,15.35
Rajkot,9.37,5.65,7.86
Sabar Kantha,11.13,10.40,10.81
Surat,8.21,5.28,6.96
Surendranagar,15.65,17.05,16.21
Tapi,12.23,5.83,9.06
The Dangs,23.44,19.27,21.37
Vadodara,13.73,8.82,11.68
Valsad,5.99,2.98,4.58

